,pclass,age,sex,unaccompanied,survived
259,1,2,0,0,1
260,1,2,1,0,1
261,1,2,0,0,1
262,1,3,0,1,0
263,1,2,1,1,1
264,1,3,0,0,1
265,1,2,0,0,1
266,1,3,0,0,0
267,1,3,0,0,0
268,1,2,0,1,0
269,1,2,0,0,0
270,1,1,1,1,1
271,1,2,0,1,1
272,1,2,1,1,1
273,1,1,0,1,1
274,1,3,0,1,1
275,1,2,1,1,1
276,1,3,0,1,0
277,1,2,1,1,1
278,1,2,0,0,1
279,1,3,0,0,0
280,1,3,0,1,1
281,1,3,1,1,1
282,1,3,1,1,1
283,1,2,0,0,0
284,1,3,1,0,1
285,1,3,0,1,0
286,1,3,1,1,0
287,1,3,0,0,0
288,1,3,1,0,1
289,1,1,1,1,1
290,1,3,0,1,0
291,1,2,1,1,1
292,1,3,0,1,1
293,1,2,1,1,1
294,1,3,0,1,0
295,1,1,0,1,1
296,1,2,1,1,1
297,1,2,1,0,1
298,1,2,0,0,1
299,1,2,0,0,0
300,1,3,0,0,0
301,1,3,0,0,0
302,1,2,1,0,1
303,1,3,0,1,0
304,1,3,1,1,1
305,1,3,0,0,0
306,1,3,0,1,0
307,1,2,0,1,0
308,1,3,1,0,1
309,1,2,1,1,1
310,1,3,0,1,0
311,1,3,1,1,1
312,1,3,0,1,0
313,1,2,0,1,0
314,1,3,1,1,1
315,1,2,1,0,1
316,1,3,0,1,0
317,1,2,0,1,1
318,1,2,0,0,0
319,1,2,1,0,1
320,1,2,0,0,1
321,1,3,0,0,0
322,1,2,1,0,1
323,2,2,0,1,0
324,2,2,1,1,1
325,2,2,0,0,0
326,2,1,0,0,0
327,2,2,0,0,0
328,2,2,0,1,0
329,2,2,1,1,1
330,2,3,0,0,0
331,2,1,0,0,0
332,2,2,0,0,0
333,2,2,1,0,1
334,2,2,0,0,0
335,2,3,0,0,0
336,2,2,0,1,1
337,2,2,1,1,1
338,2,2,0,0,0
339,2,1,0,1,1
340,2,1,1,1,1
341,2,1,1,1,1
342,2,2,1,1,1
343,2,2,0,0,1
344,2,2,1,0,1
345,2,2,0,0,0
346,2,2,0,0,0
347,2,3,0,0,0
348,2,2,0,0,0
349,2,2,1,0,1
350,2,1,1,1,1
351,2,3,0,1,0
352,2,2,1,1,1
353,2,2,1,1,1
354,2,2,0,1,0
355,2,2,1,0,1
356,2,2,0,0,0
357,2,3,0,0,0
358,2,3,1,0,1
359,2,1,0,1,1
360,2,2,0,1,1
361,2,2,1,1,1
362,2,2,1,0,1
363,2,2,0,0,0
364,2,2,0,0,0
365,2,3,1,1,0
366,2,3,0,1,0
367,2,3,0,0,0
368,2,2,0,1,0
369,2,2,1,1,0
370,2,2,1,1,1
371,2,3,1,1,1
372,2,2,0,1,0
373,2,2,1,1,1
374,2,2,0,0,0
375,2,2,0,0,0
376,2,2,0,0,1
377,2,1,1,1,1
378,2,2,0,1,0
379,2,2,1,1,1
380,2,2,1,0,1
381,2,2,1,0,0
382,2,2,1,0,0
383,2,2,0,0,0
384,2,2,0,0,0
385,2,1,0,1,1
386,2,1,0,0,0
387,2,3,1,1,1
388,2,2,1,0,1
389,2,2,0,0,0
390,2,1,0,0,0
391,2,2,0,1,0
392,2,2,1,1,1
393,2,2,0,0,0
394,2,1,0,0,0
395,2,1,1,1,1
396,2,2,1,1,1
397,2,3,0,0,0
398,2,1,0,1,1
399,2,3,0,1,0
400,2,2,1,1,1
401,2,2,1,1,1
402,2,2,1,1,1
403,2,2,0,0,0
404,2,2,0,0,0
405,2,1,0,0,0
406,2,2,0,1,0
407,2,2,1,1,1
408,2,1,0,0,0
409,2,2,0,0,0
410,2,2,0,0,0
411,2,2,1,0,0
412,2,2,0,0,0
413,2,2,0,1,0
414,2,2,0,1,0
415,2,2,1,0,1
416,2,1,0,0,0
417,2,2,0,0,0
418,2,3,0,0,0
419,2,2,0,1,0
420,2,2,0,1,0
421,2,2,0,0,0
422,2,2,0,0,0
423,2,2,0,0,0
424,2,2,0,0,0
425,2,3,0,0,0
426,2,2,0,0,0
427,2,1,0,1,1
428,2,2,1,1,1
429,2,3,0,0,0
430,2,1,1,1,1
431,2,2,0,1,0
432,2,3,0,0,1
433,2,2,0,0,0
434,2,1,1,1,1
435,2,3,0,1,0
436,2,3,1,1,1
437,2,2,1,1,1
438,2,2,1,1,1
439,2,3,0,1,0
440,2,3,1,1,1
441,2,3,1,0,1
442,2,2,0,1,0
443,2,2,0,1,0
444,2,2,0,1,0
445,2,1,1,1,0
446,2,2,1,1,1
447,2,2,0,1,0
448,2,2,0,0,0
449,2,3,1,1,1
450,2,3,0,0,0
451,2,3,0,1,0
452,2,2,1,1,1
453,2,2,0,0,0
454,2,3,0,0,1
455,2,3,0,1,0
456,2,3,1,1,0
457,2,2,0,0,0
458,2,1,1,0,1
459,2,3,0,1,0
460,2,2,1,1,1
461,2,3,0,0,0
462,2,2,0,1,0
463,2,2,0,1,0
464,2,2,0,0,0
465,2,2,1,0,1
466,2,2,0,1,0
467,2,2,1,1,1
468,2,2,1,0,0
469,2,2,1,0,1
470,2,2,0,0,0
471,2,3,1,0,1
472,2,3,0,0,0
473,2,2,0,0,0
474,2,2,0,0,0
475,2,2,1,1,0
476,2,2,0,1,0
477,2,2,0,0,0
478,2,1,1,1,1
479,2,1,1,1,1
480,2,2,0,1,0
481,2,2,1,1,1
482,2,1,1,0,1
483,2,2,1,0,1
484,2,2,1,0,1
485,2,2,0,0,0
486,2,2,0,0,0
487,2,3,0,0,0
488,2,3,0,1,0
489,2,3,1,1,1
490,2,3,1,0,0
491,2,2,0,0,0
492,2,1,0,1,1
493,2,2,0,1,0
494,2,2,1,1,1
495,2,2,0,0,0
496,2,2,0,0,0
497,2,2,0,0,0
498,2,2,0,0,0
499,2,2,0,0,0
500,2,3,0,0,0
501,2,1,1,1,1
502,2,3,1,1,1
503,2,2,0,0,1
504,2,2,0,0,0
505,2,3,0,0,0
506,2,3,0,0,0
507,2,2,0,0,0
508,2,3,0,0,0
509,2,2,0,0,0
510,2,1,0,0,0
511,2,3,0,0,0
512,2,2,0,1,0
513,2,1,1,1,1
514,2,1,0,1,1
515,2,1,0,1,1
516,2,2,0,1,0
517,2,2,0,0,0
518,2,2,0,1,0
519,2,2,0,0,0
520,2,2,0,0,1
521,2,2,1,0,1
522,2,2,0,0,0
523,2,2,0,0,1
524,2,2,0,0,1
525,2,2,0,0,0
526,2,2,0,0,1
527,2,2,0,0,0
528,2,2,0,0,0
529,2,3,1,1,1
530,2,2,0,0,0
531,2,2,0,0,0
532,2,3,0,0,0
533,2,2,1,1,1
534,2,2,1,0,1
535,2,3,0,1,0
536,2,2,1,0,1
537,2,2,0,0,0
538,2,2,0,0,1
539,2,2,0,0,0
540,2,1,1,1,1
541,2,1,1,1,1
542,2,2,1,1,1
543,2,2,0,0,0
544,2,2,0,1,0
545,2,2,1,1,1
546,2,2,1,0,1
547,2,2,0,0,0
548,2,1,0,1,1
549,2,1,0,1,1
550,2,2,1,1,1
551,2,3,1,0,1
552,2,2,0,0,0
553,2,2,1,0,1
554,2,2,0,0,0
555,2,2,0,0,0
556,2,2,0,0,0
557,2,2,1,1,1
558,2,1,1,1,1
559,2,2,1,0,1
560,2,2,1,0,1
561,2,3,0,0,0
562,2,2,1,0,1
563,2,2,0,0,0
564,2,2,1,0,1
565,2,2,0,0,0
566,2,3,0,0,0
567,2,2,0,0,0
568,2,1,0,0,0
569,2,1,0,0,0
570,2,3,1,0,1
571,2,2,0,0,0
572,2,2,1,0,1
573,2,2,1,0,1
574,2,2,0,1,0
575,2,2,1,1,0
576,2,2,0,0,0
577,2,2,1,0,1
578,2,2,0,1,0
579,2,2,0,1,0
580,2,2,1,0,1
581,2,2,0,0,0
582,2,1,1,0,1
583,2,2,1,0,1
584,2,2,1,0,1
585,2,2,0,1,0
586,2,2,1,1,1
587,2,1,0,1,1
588,2,1,1,1,1
589,2,2,1,1,1
590,2,1,1,1,1
591,2,1,1,1,1
592,2,2,0,1,0
593,2,2,1,1,1
594,2,3,0,0,0
595,2,2,0,0,0
596,2,2,0,0,1
597,2,2,0,0,1
598,2,2,1,0,1
599,2,2,1,0,0
600,3,3,0,0,0
601,3,1,0,1,0
602,3,1,0,1,0
603,3,2,1,1,1
604,3,1,1,0,1
605,3,2,0,0,1
606,3,2,0,0,1
607,3,1,1,0,1
608,3,2,0,0,0
609,3,2,0,0,0
610,3,2,1,1,0
611,3,1,0,1,1
612,3,1,1,1,1
613,3,2,0,0,1
614,3,2,0,0,0
615,3,2,0,0,0
616,3,2,0,0,0
617,3,2,0,0,0
618,3,2,0,0,0
619,3,1,0,0,0
620,3,2,0,0,0
621,3,2,1,1,1
622,3,1,0,1,0
623,3,1,1,1,0
624,3,1,1,1,0
625,3,1,1,1,1
626,3,2,1,1,0
627,3,1,1,1,0
628,3,1,1,1,0
629,3,2,0,1,0
630,3,2,0,0,1
631,3,2,0,0,0
632,3,2,1,1,0
633,3,2,0,0,0
634,3,2,0,0,0
635,3,2,0,1,0
636,3,1,1,1,0
637,3,2,0,0,0
638,3,2,0,0,0
639,3,1,0,1,0
640,3,1,0,1,0
641,3,1,0,1,1
642,3,1,0,1,0
643,3,1,1,1,1
644,3,2,0,1,0
645,3,2,0,0,1
646,3,2,1,1,1
647,3,3,1,0,1
648,3,2,0,0,0
649,3,2,0,0,0
650,3,1,1,0,0
651,3,2,0,0,0
652,3,2,0,0,0
653,3,1,1,0,1
654,3,2,0,0,0
655,3,2,0,1,0
656,3,2,1,1,1
657,3,1,1,1,1
658,3,1,1,1,1
659,3,1,1,1,1
660,3,2,1,1,1
661,3,1,1,0,1
662,3,2,0,0,0
663,3,2,0,0,0
664,3,2,0,0,1
665,3,1,1,1,0
666,3,3,1,1,0
667,3,2,1,0,0
668,3,2,0,0,0
669,3,2,0,0,0
670,3,2,0,0,0
671,3,2,0,0,0
672,3,2,0,0,0
673,3,2,0,0,0
674,3,2,0,0,1
675,3,2,0,0,0
676,3,1,0,0,0
677,3,2,0,0,0
678,3,1,0,1,0
679,3,1,1,1,0
680,3,2,0,0,0
681,3,2,1,1,0
682,3,2,1,1,0
683,3,2,0,1,0
684,3,2,1,1,0
685,3,2,0,0,0
686,3,2,1,0,1
687,3,2,1,0,0
688,3,2,0,1,0
689,3,2,0,1,0
690,3,2,0,0,0
691,3,2,0,0,0
692,3,1,1,0,0
693,3,2,0,0,1
694,3,2,0,0,0
695,3,1,1,0,0
696,3,2,1,0,0
697,3,2,1,0,0
698,3,1,0,0,0
699,3,2,0,0,0
700,3,1,0,0,0
701,3,1,0,0,0
702,3,2,1,0,0
703,3,2,0,0,0
704,3,2,0,0,0
705,3,2,0,1,0
706,3,2,1,1,0
707,3,2,0,0,0
708,3,2,0,0,0
709,3,1,1,0,1
710,3,2,1,0,0
711,3,2,0,0,0
712,3,2,0,0,0
713,3,2,0,0,0
714,3,2,0,0,1
715,3,2,0,0,0
716,3,2,0,1,0
717,3,1,0,1,0
718,3,2,0,0,0
719,3,1,0,0,1
720,3,2,0,0,0
721,3,2,0,0,0
722,3,2,0,0,0
723,3,2,0,0,0
724,3,2,0,0,0
725,3,2,1,0,1
726,3,2,1,0,0
727,3,3,0,0,0
728,3,3,0,0,0
729,3,2,0,0,0
730,3,2,0,0,0
731,3,2,0,0,0
732,3,2,0,0,0
733,3,1,0,1,1
734,3,1,0,1,1
735,3,2,1,1,1
736,3,3,0,0,0
737,3,2,0,0,0
738,3,1,1,1,1
739,3,3,0,1,0
740,3,1,0,0,0
741,3,2,0,0,0
742,3,3,0,0,1
743,3,2,1,0,0
744,3,2,0,0,0
745,3,2,1,0,1
746,3,2,0,0,1
747,3,1,0,1,0
748,3,2,0,1,0
749,3,2,1,1,0
750,3,2,0,0,0
751,3,2,0,0,0
752,3,2,0,1,0
753,3,2,0,0,0
754,3,2,0,1,0
755,3,1,0,1,0
756,3,2,0,1,0
757,3,2,1,1,1
758,3,2,0,1,1
759,3,2,1,1,1
760,3,2,0,0,1
761,3,1,0,0,0
762,3,1,0,1,1
763,3,1,1,1,1
764,3,2,0,1,0
765,3,2,1,1,1
766,3,2,0,0,0
767,3,2,0,0,0
768,3,2,0,0,0
769,3,2,0,0,0
770,3,2,0,0,0
771,3,2,1,0,1
772,3,1,0,0,0
773,3,3,0,0,0
774,3,3,0,0,0
775,3,2,0,0,0
776,3,2,0,0,0
777,3,2,0,0,1
778,3,2,1,0,1
779,3,2,1,0,0
780,3,2,1,0,1
781,3,2,0,0,0
782,3,3,0,0,0
783,3,2,0,0,1
784,3,2,0,1,0
785,3,2,1,1,1
786,3,1,0,0,0
787,3,1,0,0,0
788,3,3,0,0,0
789,3,2,0,0,0
790,3,2,0,1,0
791,3,1,0,1,0
792,3,1,0,1,0
793,3,3,0,0,0
794,3,1,1,0,1
795,3,2,0,0,0
796,3,2,0,0,0
797,3,2,0,0,0
798,3,2,0,0,1
799,3,1,0,0,0
800,3,2,1,0,0
801,3,2,0,0,0
802,3,2,0,0,0
803,3,2,0,0,0
804,3,2,0,0,0
805,3,2,0,0,1
806,3,2,1,1,0
807,3,1,1,1,0
808,3,2,0,0,0
809,3,1,0,1,0
810,3,1,0,1,0
811,3,3,1,1,0
812,3,2,0,0,0
813,3,2,0,0,0
814,3,2,0,0,0
815,3,2,0,0,0
816,3,2,0,0,0
817,3,2,0,0,0
818,3,1,1,0,1
819,3,2,1,0,1
820,3,1,0,1,1
821,3,2,0,1,0
822,3,3,0,0,0
823,3,2,1,1,1
824,3,2,0,0,0
825,3,1,0,1,0
826,3,1,0,1,0
827,3,1,0,1,0
828,3,1,1,1,0
829,3,1,1,1,0
830,3,1,0,1,0
831,3,2,0,1,0
832,3,3,1,1,0
833,3,3,0,0,0
834,3,2,0,0,0
835,3,2,0,0,0
836,3,2,0,0,0
837,3,2,0,1,0
838,3,2,0,1,0
839,3,2,0,0,0
840,3,2,1,0,0
841,3,1,1,0,0
842,3,2,0,1,0
843,3,2,0,1,0
844,3,2,0,1,0
845,3,2,1,1,1
846,3,2,0,0,0
847,3,2,0,0,0
848,3,3,0,1,0
849,3,2,0,1,0
850,3,2,0,0,0
851,3,3,1,1,1
852,3,2,1,0,0
853,3,2,0,0,0
854,3,2,0,0,0
855,3,1,0,0,0
856,3,2,1,0,1
857,3,2,0,0,1
858,3,2,0,0,1
859,3,1,1,0,0
860,3,2,1,0,1
861,3,2,1,0,0
862,3,2,1,0,1
863,3,2,0,0,0
864,3,2,1,0,0
865,3,2,1,0,0
866,3,1,1,1,1
867,3,2,1,1,1
868,3,3,0,0,0
869,3,2,0,0,0
870,3,2,1,0,1
871,3,2,0,0,0
872,3,2,1,0,1
873,3,3,0,0,0
874,3,2,0,0,1
875,3,2,0,0,0
876,3,2,0,0,0
877,3,2,1,1,0
878,3,2,1,1,0
879,3,2,0,0,0
880,3,2,0,0,1
881,3,2,0,0,1
882,3,2,0,0,0
883,3,2,0,0,0
884,3,3,0,0,0
885,3,1,0,1,0
886,3,2,1,0,1
887,3,2,0,0,1
888,3,2,0,0,0
889,3,2,0,0,1
890,3,2,0,0,0
891,3,2,0,0,0
892,3,2,0,0,0
893,3,2,0,0,0
894,3,1,0,1,1
895,3,1,1,1,1
896,3,3,0,0,0
897,3,2,0,0,0
898,3,2,0,0,0
899,3,2,1,1,1
900,3,2,0,1,0
901,3,2,1,1,0
902,3,2,0,1,0
903,3,2,1,1,0
904,3,2,0,0,0
905,3,2,0,0,1
906,3,2,0,0,0
907,3,2,1,1,0
908,3,2,1,1,0
909,3,2,0,0,1
910,3,1,0,0,0
911,3,2,0,0,0
912,3,2,0,0,0
913,3,2,0,0,1
914,3,2,0,0,0
915,3,2,0,0,0
916,3,1,1,1,1
917,3,2,0,1,1
918,3,2,0,0,0
919,3,1,0,0,0
920,3,2,0,0,0
921,3,2,0,0,0
922,3,2,1,0,1
923,3,2,1,0,1
924,3,2,0,0,0
925,3,3,0,0,0
926,3,2,0,0,1
927,3,2,0,1,0
928,3,2,1,1,0
929,3,2,0,1,0
930,3,2,0,1,0
931,3,2,0,0,0
932,3,2,1,1,0
933,3,2,0,1,0
934,3,1,1,1,1
935,3,2,0,1,1
936,3,2,1,1,1
937,3,1,1,1,0
938,3,1,0,1,0
939,3,2,1,1,0
940,3,2,0,0,0
941,3,2,0,0,1
942,3,2,0,0,0
943,3,2,1,0,0
944,3,2,0,0,0
945,3,2,0,0,1
946,3,2,0,0,0
947,3,2,1,0,1
948,3,2,0,0,0
949,3,2,0,0,1
950,3,2,0,0,0
951,3,2,0,0,0
952,3,2,0,0,0
953,3,2,0,0,1
954,3,2,0,1,0
955,3,2,1,1,0
956,3,2,1,1,0
957,3,2,1,1,0
958,3,2,1,1,0
959,3,2,0,0,0
960,3,2,0,0,0
961,3,2,1,1,0
962,3,2,0,1,0
963,3,2,0,0,0
964,3,2,0,0,0
965,3,2,0,0,0
966,3,2,1,0,0
967,3,3,1,0,0
968,3,2,0,1,0
969,3,2,1,1,0
970,3,2,0,1,1
971,3,2,0,0,0
972,3,2,0,0,0
973,3,2,0,0,0
974,3,2,0,1,0
975,3,2,1,1,0
976,3,2,0,0,0
977,3,2,0,0,0
978,3,2,0,0,1
979,3,3,0,0,0
980,3,2,1,0,1
981,3,2,0,0,1
982,3,2,0,0,0
983,3,2,0,0,0
984,3,2,1,0,1
985,3,2,0,0,1
986,3,2,0,0,0
987,3,2,1,0,0
988,3,2,0,0,0
989,3,2,0,0,0
990,3,2,0,0,0
991,3,2,0,0,1
992,3,2,1,0,0
993,3,2,1,0,1
994,3,2,0,0,0
995,3,2,0,0,0
996,3,2,0,0,0
997,3,2,1,0,1
998,3,2,0,0,0
999,3,2,1,0,1
1000,3,2,0,0,1
1001,3,2,1,1,1
1002,3,2,1,1,1
1003,3,2,0,1,1
1004,3,2,1,0,1
1005,3,2,0,0,0
1006,3,2,1,0,1
1007,3,1,1,0,1
1008,3,2,1,0,0
1009,3,2,0,0,0
1010,3,2,0,1,0
1011,3,2,1,1,0
1012,3,2,1,0,0
1013,3,2,1,0,0
1014,3,2,1,0,0
1015,3,3,0,0,0
1016,3,2,0,0,0
1017,3,2,0,0,1
1018,3,2,0,0,0
1019,3,2,0,0,0
1020,3,2,0,0,0
1021,3,2,0,0,0
1022,3,2,0,0,0
1023,3,2,1,0,1
1024,3,2,0,0,0
1025,3,1,0,1,1
1026,3,2,1,1,1
1027,3,2,0,0,0
1028,3,2,1,1,1
1029,3,2,0,1,0
1030,3,2,0,0,0
1031,3,2,0,0,0
1032,3,2,0,0,0
1033,3,2,0,0,1
1034,3,2,0,1,1
1035,3,2,0,1,1
1036,3,2,1,1,1
1037,3,2,1,0,1
1038,3,2,0,0,0
1039,3,2,1,0,1
1040,3,2,1,0,1
1041,3,2,0,0,0
1042,3,2,1,1,1
1043,3,2,1,1,1
1044,3,2,1,0,1
1045,3,1,0,0,0
1046,3,2,0,0,0
1047,3,1,1,0,1
1048,3,1,1,1,1
1049,3,2,0,1,1
1050,3,2,1,1,1
1051,3,2,0,0,0
1052,3,2,0,0,0
1053,3,2,0,0,0
1054,3,2,1,0,0
1055,3,2,0,0,0
1056,3,1,0,1,1
1057,3,1,1,1,1
1058,3,2,1,0,0
1059,3,2,0,0,0
1060,3,1,1,0,1
1061,3,2,1,0,1
1062,3,2,0,0,0
1063,3,3,0,0,0
1064,3,2,0,0,1
1065,3,2,0,0,0
1066,3,2,0,0,0
1067,3,2,1,0,1
1068,3,3,0,0,0
1069,3,2,0,1,0
1070,3,2,0,0,0
1071,3,2,1,1,1
1072,3,2,0,0,0
1073,3,2,0,0,0
1074,3,2,0,0,0
1075,3,2,0,0,0
1076,3,2,1,0,0
1077,3,2,1,0,1
1078,3,2,1,0,1
1079,3,2,1,0,1
1080,3,2,0,0,1
1081,3,2,1,0,1
1082,3,1,0,1,1
1083,3,2,0,0,0
1084,3,3,0,1,0
1085,3,2,0,0,0
1086,3,2,1,0,0
1087,3,2,0,0,0
1088,3,2,0,0,1
1089,3,2,0,0,0
1090,3,2,1,0,0
1091,3,2,1,0,0
1092,3,2,0,0,0
1093,3,1,0,0,0
1094,3,2,1,0,1
1095,3,2,1,0,0
1096,3,1,0,1,0
1097,3,1,0,1,0
1098,3,1,1,1,0
1099,3,1,1,1,0
1100,3,2,1,1,0
1101,3,1,0,1,0
1102,3,1,0,1,0
1103,3,1,0,1,0
1104,3,1,0,1,0
1105,3,1,0,1,0
1106,3,3,1,1,0
1107,3,2,0,0,0
1108,3,2,0,0,0
1109,3,2,0,0,0
1110,3,2,0,0,0
1111,3,1,0,1,0
1112,3,1,1,1,0
1113,3,2,1,1,0
1114,3,2,0,0,0
1115,3,2,0,0,0
1116,3,2,0,0,0
1117,3,2,0,0,0
1118,3,2,0,0,0
1119,3,2,0,0,0
1120,3,2,0,1,1
1121,3,2,0,1,1
1122,3,2,1,1,1
1123,3,2,1,1,1
1124,3,2,1,0,0
1125,3,2,0,0,0
1126,3,2,1,0,0
1127,3,2,0,0,0
1128,3,2,0,0,0
1129,3,2,0,1,0
1130,3,1,1,0,0
1131,3,2,0,0,1
1132,3,2,0,0,0
1133,3,1,0,0,0
1134,3,2,0,0,0
1135,3,2,0,0,0
1136,3,2,1,0,0
1137,3,2,0,0,0
1138,3,2,0,0,0
1139,3,2,0,0,0
1140,3,2,0,0,0
1141,3,1,0,1,0
1142,3,1,0,1,0
1143,3,1,0,1,0
1144,3,1,0,1,0
1145,3,1,0,1,0
1146,3,2,1,1,0
1147,3,2,1,0,0
1148,3,2,0,0,0
1149,3,2,1,0,1
